"","AAPL","AXP","BA","CAT","CSCO","CVX","DD","DIS","GE","GS","HD","IBM","INTC","JNJ","JPM","KO","MCD","MMM","MRK","MSFT","NKE","PFE","PG","TRV","UNH","UTX","V","VZ","WMT","XOM"
"2013-06-28","0.00018831408605624","0.000103594518578259","0.000129375394640479","8.57984759696189e-05","0.00015766801136944","0.000121336116458605","0.00011336058940741","0.000114829682658052","7.91230643401557e-05","0.000160194166587971","6.72936038860541e-05","0.000603131093982602","0.000270308140649627","0.000145013721733442","8.6032940982861e-05","3.30856076478604e-05","6.07020534219342e-05","0.000109992817754678","0.00020251396172731","0.000160061993441093","0.000752040198011091","0.000427354041979628","9.37925544804609e-05","8.90316485714369e-05","0.00023260067015133","0.000149456481344574","0.000126713187775626","9.42708775232344e-05","6.93884492271062e-05","9.71758806437532e-05"
"2013-07-01","0.000458177818356786","0.000215021823545646","9.98511983948258e-05","0.00012109104560786","0.000347303199054833","0.000100074269344815","0.000168966392962911","0.000314027860956315","0.000167931059892252","0.000226688939570157","0.000155511040079747","0.000114012475120999","0.000117459344829719","0.000139663484554812","0.00015757445837009","0.000273566424837462","6.96827275434556e-05","0.000144738513026266","0.000165457845761748","0.00014097241375886","0.000271541838210924","0.000190412746484029","0.000118561868247993","0.000133034830467562","0.000150405772822109","0.000142093471138267","0.000152908100780175","0.000116069319467857","0.00013105741656345","7.46220506375891e-05"
"2013-07-02","0.000228436607446145","0.000132521435597014","0.000100607574883574","6.08554786886963e-05","0.00013810136915304","6.90764718139051e-05","7.10388241487516e-05","5.67703992956556e-05","7.95111246972943e-05","0.000165030914995105","9.81886392364714e-05","0.00011436707536893","9.97481663344818e-05","5.34064631088185e-05","0.000320014296327346","9.62133086914879e-05","3.39312255355938e-05","5.25027372702568e-05","0.000101696018669267","0.000139919576721214","0.00010723470309348","7.95710614537857e-05","2.70341409500237e-05","0.000100382605629735","5.66418102756432e-05","5.56000764825291e-05","8.7434413294146e-05","0.000102841459688442","9.35964698723472e-05","5.85609860777868e-05"
"2013-07-03","0.000116081639280774","0.000166889581898647","6.7018314214067e-05","6.17197540101663e-05","0.000157224644703628","1.94167006926253e-05","3.89424101843336e-05","0.000109076686472128","0.000102919881110809","0.000152251139508914","5.0184393554728e-05","8.03285313622523e-05","0.000163069084396176","6.0818565244152e-05","0.000144689134895011","3.75936458576921e-05","2.7388434637243e-05","5.87921154039695e-05","6.78992157511802e-05","0.000155964475910643","0.000101786695456008","0.000100645415600576","0.00011140332180643","5.6778532023793e-05","7.58012341835258e-05","8.20666832090987e-05","9.69505005818571e-05","0.000102635590026953","6.48183918212965e-05","2.99769895492938e-05"
"2013-07-05","0.000101277335449951","0.000177741420556083","0.000157837254113938","0.000148594248456821","0.000140953464459454","8.11015880968129e-05","0.000107271075340966","7.2287786685587e-05","0.000174430581333909","0.000222214495755513","6.73572351994258e-05","0.000131909058486685","0.000154476026003006","0.00011893104325578","0.000204044554642189","0.000175767165491465","8.88675774724858e-05","0.0001279297112043","0.000158244814334928","0.000129248283677991","0.000105114134253519","0.000283875903290034","0.000137299129195933","0.000165637198443347","0.000155146330517806","0.000151956668811918","0.000150869499745512","0.000146334242427287","8.21995028752318e-05","7.27393524113223e-05"
"2013-07-08","0.000215823983200418","9.81691654925974e-05","5.15655220441338e-05","4.1528999380438e-05","0.000105702636440751","9.89386183340303e-05","0.000228220560039563","7.30799528499831e-05","8.88284644076005e-05","0.000166207756558458","6.67801318266401e-05","3.739795639129e-05","0.000370213924841307","6.85425703206698e-05","0.000198654470230671","6.11181905644541e-05","4.39422778499023e-05","6.04817698079722e-05","0.000101946586334688","0.000167256078023459","0.000141326896402714","0.000133532736344861","4.91947359507024e-05","5.4140440283765e-05","0.000225699390378634","9.31182752795265e-05","0.000112510622637477","0.00013709443750806","9.68944029286697e-05","5.80359923220517e-05"
"2013-07-09","0.000152924740341387","0.000156074954310951","9.53440361048934e-05","0.000255590547572852","0.000154885710084702","0.000115523551086666","6.61769147337264e-05","0.0001592176337506","0.000126160058488187","0.000181408823537217","7.83505502869392e-05","0.00033482652345725","0.000173643944267676","1.6705035327861e-05","0.000141234165849269","0.000103583300713354","5.02424213668705e-05","9.85170231906436e-05","0.00013383967549534","0.000137183212155768","7.49209422753633e-05","7.99446712401738e-05","6.15568149970638e-05","5.1722597458493e-05","0.000132509447662281","7.08718390682116e-05","8.71454658865907e-05","9.54916083052399e-05","4.38577244964577e-05","6.10958125299749e-05"
"2013-07-10","0.000133644972375134","8.98210070664081e-05","6.36772703013641e-05","0.000103476526361724","8.44322663044361e-05","8.92322828635257e-05","5.75237631737528e-05","5.18952727118166e-05","0.000152248452694227","0.00015484754252115","7.23813415733599e-05","4.26201442724e-05","0.000274915535920144","5.96271344657446e-05","0.000137684758039808","0.000108394228332323","3.70092485718637e-05","7.35984051994585e-05","5.12315917830723e-05","8.49691169488515e-05","3.33076034481439e-05","8.77102006502754e-05","6.20398534940125e-05","6.1039651256051e-05","0.000139638776814708","4.40467132158946e-05","7.16252424200277e-05","7.45220150085321e-05","4.91636533740659e-05","7.77663973161963e-05"
"2013-07-11","7.63710890734916e-05","0.000300906466760849","0.000119265639414652","0.000371041702830443","0.000171255350138222","0.000145315588443006","0.000251997035602182","0.000212997752930787","0.000274048555614469","0.0003579424090776","0.000200787434726618","7.71693952620557e-05","0.000372618073369866","9.35215567629431e-05","0.000480294160090168","0.00012364236988893","0.000133529594154991","9.27816524865631e-05","0.000151301623389395","0.000233539908121884","0.000180752813734228","0.000239976650255673","9.95511028504678e-05","0.0001970082602521","0.000128112303441127","0.000173130281660724","0.000222742391314476","0.000108185479981101","9.6581883243618e-05","0.00013050154589081"
"2013-07-12","6.64903162510598e-05","8.34073434737497e-05","0.00433563798356734","4.35516342581631e-05","0.00012938852819259","5.87776466773029e-05","5.65271788136359e-05","8.13758323810408e-05","6.48949811704337e-05","0.000145160456412044","3.71761548175158e-05","3.57739937617472e-05","0.000134051223130984","4.33097917314649e-05","0.000138474208747555","5.64132522439188e-05","4.33465201021886e-05","3.48160946008522e-05","9.21384314260473e-05","7.29030364516476e-05","4.03556323273581e-05","0.000196079175914494","4.25730203526507e-05","6.45001260799467e-05","6.7447831717106e-05","5.92241590162544e-05","5.95236698236964e-05","0.000108941108084962","2.31724101848566e-05","5.41442983664761e-05"
"2013-07-15","0.000117758267470676","5.57667526275874e-05","0.00062156323026519","9.36841904163509e-05","9.59447553228462e-05","1.80555001076236e-05","4.75788747995159e-05","5.3047540666684e-05","4.84651273815401e-05","0.000382206580019838","6.93693328303956e-05","4.94422005392409e-05","4.96662079822806e-05","3.08405323236189e-05","0.000135533268309217","4.52646013519541e-05","2.57540346158682e-05","2.32332378112243e-05","4.84085303609782e-05","9.00926812755724e-05","3.56012271552135e-05","5.56417830128774e-05","3.3342325245561e-05","4.99193814542827e-05","5.01247364000935e-05","5.42356553271781e-05","7.72046910954722e-05","8.22786606903004e-05","4.83133587697432e-05","1.21003731906383e-05"
"2013-07-16","6.78614957065204e-05","4.82515167788927e-05","4.46078066549832e-05","6.44687913275882e-05","7.2849686031516e-05","5.43754164085605e-05","4.79619838832902e-05","6.29432005235641e-05","4.8705107281045e-05","0.000285107672271679","4.58321838367693e-05","4.03266787601226e-05","0.00011494017272228","0.000150802430534629","9.54572500374136e-05","0.00112254774948003","7.34229829225562e-05","2.57273245029443e-05","8.46429929613799e-05","8.82651023274511e-05","0.000104620694939731","7.03309644778319e-05","2.73193086387152e-05","4.31051347598875e-05","0.000174567544477988","3.06678350334462e-05","3.08907612027408e-05","9.89499955727731e-05","2.14912680258582e-05","4.85894097730949e-05"
